frame_number,loss
1.000000000000000000e+00,6.801280542276799679e-04
2.000000000000000000e+00,6.802874268032610416e-04
3.000000000000000000e+00,6.807882455177605152e-04
4.000000000000000000e+00,6.809557089582085609e-04
5.000000000000000000e+00,6.834468222223222256e-04
6.000000000000000000e+00,6.833010120317339897e-04
7.000000000000000000e+00,6.827148026786744595e-04
8.000000000000000000e+00,6.836163229309022427e-04
9.000000000000000000e+00,6.835607928223907948e-04
1.000000000000000000e+01,6.837304099462926388e-04
1.100000000000000000e+01,6.819138652645051479e-04
1.200000000000000000e+01,6.819583359174430370e-04
1.300000000000000000e+01,6.820475100539624691e-04
1.400000000000000000e+01,6.807119934819638729e-04
1.500000000000000000e+01,6.804967415519058704e-04
1.600000000000000000e+01,6.826373282819986343e-04
1.700000000000000000e+01,6.836589891463518143e-04
1.800000000000000000e+01,6.836353568360209465e-04
1.900000000000000000e+01,6.868831696920096874e-04
2.000000000000000000e+01,6.882448215037584305e-04
2.100000000000000000e+01,6.880955770611763000e-04
2.200000000000000000e+01,6.862559821456670761e-04
2.300000000000000000e+01,6.870327633805572987e-04
2.400000000000000000e+01,6.869253702461719513e-04
2.500000000000000000e+01,6.897569401189684868e-04
2.600000000000000000e+01,6.892831297591328621e-04
2.700000000000000000e+01,6.874619866721332073e-04
2.800000000000000000e+01,6.881219451315701008e-04
2.900000000000000000e+01,6.873930105939507484e-04
3.000000000000000000e+01,6.896805134601891041e-04
3.100000000000000000e+01,6.886225892230868340e-04
3.200000000000000000e+01,6.891399971209466457e-04
3.300000000000000000e+01,6.846227915957570076e-04
3.400000000000000000e+01,6.844007293693721294e-04
3.500000000000000000e+01,6.843503215350210667e-04
3.600000000000000000e+01,6.854041712358593941e-04
3.700000000000000000e+01,6.851670332252979279e-04
3.800000000000000000e+01,6.824334268458187580e-04
3.900000000000000000e+01,6.825022865086793900e-04
4.000000000000000000e+01,6.820152048021554947e-04
4.100000000000000000e+01,6.865509785711765289e-04
4.200000000000000000e+01,6.865509785711765289e-04
4.300000000000000000e+01,6.856487598270177841e-04
4.400000000000000000e+01,6.881324807181954384e-04
4.500000000000000000e+01,6.880420842207968235e-04
4.600000000000000000e+01,6.875559338368475437e-04
4.700000000000000000e+01,6.899631116539239883e-04
4.800000000000000000e+01,6.899424479342997074e-04
4.900000000000000000e+01,6.869367789477109909e-04
5.000000000000000000e+01,6.860184366814792156e-04
5.100000000000000000e+01,6.860500434413552284e-04
5.200000000000000000e+01,6.861527799628674984e-04
5.300000000000000000e+01,6.846825708635151386e-04
5.400000000000000000e+01,6.846874603070318699e-04
5.500000000000000000e+01,6.821599672548472881e-04
5.600000000000000000e+01,6.820565904490649700e-04
5.700000000000000000e+01,6.820358103141188622e-04
5.800000000000000000e+01,6.837123073637485504e-04
5.900000000000000000e+01,6.839081761427223682e-04
6.000000000000000000e+01,6.812143255956470966e-04
6.100000000000000000e+01,6.814725929871201515e-04
6.200000000000000000e+01,6.813775398768484592e-04
6.300000000000000000e+01,6.836663233116269112e-04
6.400000000000000000e+01,6.831751088611781597e-04
6.500000000000000000e+01,6.837469991296529770e-04
6.600000000000000000e+01,6.842304719612002373e-04
6.700000000000000000e+01,6.839756970293819904e-04
6.800000000000000000e+01,6.843694718554615974e-04
6.900000000000000000e+01,6.856878753751516342e-04
7.000000000000000000e+01,6.852413644082844257e-04
7.100000000000000000e+01,6.869611679576337337e-04
7.200000000000000000e+01,6.869718199595808983e-04
7.300000000000000000e+01,6.873474339954555035e-04
7.400000000000000000e+01,6.867604097351431847e-04
7.500000000000000000e+01,6.867423653602600098e-04
7.600000000000000000e+01,6.864408496767282486e-04
7.700000000000000000e+01,6.848849589005112648e-04
7.800000000000000000e+01,6.849048659205436707e-04
7.900000000000000000e+01,6.855896790511906147e-04
8.000000000000000000e+01,6.893691024743020535e-04
8.100000000000000000e+01,6.895316182635724545e-04
8.200000000000000000e+01,6.835467647761106491e-04
8.300000000000000000e+01,6.828808691352605820e-04
8.400000000000000000e+01,6.829171325080096722e-04
8.500000000000000000e+01,6.836135289631783962e-04
8.600000000000000000e+01,6.834822706878185272e-04
8.700000000000000000e+01,6.833715015091001987e-04
8.800000000000000000e+01,6.828600890003144741e-04
8.900000000000000000e+01,6.837730761617422104e-04
9.000000000000000000e+01,6.830638158135116100e-04
9.100000000000000000e+01,6.811547209508717060e-04
9.200000000000000000e+01,6.816034438088536263e-04
9.300000000000000000e+01,6.827283068560063839e-04
9.400000000000000000e+01,6.830433849245309830e-04
9.500000000000000000e+01,6.830703350715339184e-04
9.600000000000000000e+01,6.824395968578755856e-04
9.700000000000000000e+01,6.823545554652810097e-04
9.800000000000000000e+01,6.823776639066636562e-04
9.900000000000000000e+01,6.784189608879387379e-04
1.000000000000000000e+02,6.784360739402472973e-04
1.010000000000000000e+02,6.785048171877861023e-04
1.020000000000000000e+02,6.764727877452969551e-04
1.030000000000000000e+02,6.763808778487145901e-04
1.040000000000000000e+02,6.750197499059140682e-04
1.050000000000000000e+02,6.751004839316010475e-04
1.060000000000000000e+02,6.749574677087366581e-04
1.070000000000000000e+02,6.792867789044976234e-04
1.080000000000000000e+02,6.792770000174641609e-04
1.090000000000000000e+02,6.790861370973289013e-04
1.100000000000000000e+02,6.801413255743682384e-04
1.110000000000000000e+02,6.802368443459272385e-04
1.120000000000000000e+02,6.793901557102799416e-04
1.130000000000000000e+02,6.794899818487465382e-04
1.140000000000000000e+02,6.794189685024321079e-04
1.150000000000000000e+02,6.764500867575407028e-04
1.160000000000000000e+02,6.785908481106162071e-04
1.170000000000000000e+02,6.784587749280035496e-04
1.180000000000000000e+02,6.783610442653298378e-04
1.190000000000000000e+02,6.785803125239908695e-04
1.200000000000000000e+02,6.786298472434282303e-04
1.210000000000000000e+02,6.808961043134331703e-04
1.220000000000000000e+02,6.811549537815153599e-04
1.230000000000000000e+02,6.810514023527503014e-04
1.240000000000000000e+02,6.815908709540963173e-04
1.250000000000000000e+02,6.815337110310792923e-04
1.260000000000000000e+02,6.849918281659483910e-04
1.270000000000000000e+02,6.853373488411307335e-04
1.280000000000000000e+02,6.855697720311582088e-04
1.290000000000000000e+02,6.854468374513089657e-04
1.300000000000000000e+02,6.811769562773406506e-04
1.310000000000000000e+02,6.810734048485755920e-04
1.320000000000000000e+02,6.796254892833530903e-04
1.330000000000000000e+02,6.798491813242435455e-04
1.340000000000000000e+02,6.796880043111741543e-04
1.350000000000000000e+02,6.777136004529893398e-04
1.360000000000000000e+02,6.778138340450823307e-04
1.370000000000000000e+02,6.777205271646380424e-04
1.380000000000000000e+02,6.790858460590243340e-04
1.390000000000000000e+02,6.792609347030520439e-04
1.400000000000000000e+02,6.790828192606568336e-04
1.410000000000000000e+02,6.804279983043670654e-04
1.420000000000000000e+02,6.809033802710473537e-04
1.430000000000000000e+02,6.817784742452204227e-04
1.440000000000000000e+02,6.816206732764840126e-04
1.450000000000000000e+02,6.816482637077569962e-04
1.460000000000000000e+02,6.815068772993981838e-04
1.470000000000000000e+02,6.814794614911079407e-04
1.480000000000000000e+02,6.814827211201190948e-04
1.490000000000000000e+02,6.806191522628068924e-04
1.500000000000000000e+02,6.808780599385499954e-04
1.510000000000000000e+02,6.787464953958988190e-04
1.520000000000000000e+02,6.772108026780188084e-04
1.530000000000000000e+02,6.769843166694045067e-04
1.540000000000000000e+02,6.797026144340634346e-04
1.550000000000000000e+02,6.796190864406526089e-04
1.560000000000000000e+02,6.795935914851725101e-04
1.570000000000000000e+02,6.835476378910243511e-04
1.580000000000000000e+02,6.833992665633559227e-04
1.590000000000000000e+02,6.833852967247366905e-04
1.600000000000000000e+02,6.827804027125239372e-04
1.610000000000000000e+02,6.825930322520434856e-04
1.620000000000000000e+02,6.825790624134242535e-04
1.630000000000000000e+02,6.850574864074587822e-04
1.640000000000000000e+02,6.848860066384077072e-04
1.650000000000000000e+02,6.832118378952145576e-04
1.660000000000000000e+02,6.833088700659573078e-04
1.670000000000000000e+02,6.831943173892796040e-04
1.680000000000000000e+02,6.847868207842111588e-04
1.690000000000000000e+02,6.850159843452274799e-04
1.700000000000000000e+02,6.845160969533026218e-04
1.710000000000000000e+02,6.798522663302719593e-04
1.720000000000000000e+02,6.804524455219507217e-04
1.730000000000000000e+02,6.800092523917555809e-04
1.740000000000000000e+02,6.810992490500211716e-04
1.750000000000000000e+02,6.811784696765244007e-04
1.760000000000000000e+02,6.774187786504626274e-04
1.770000000000000000e+02,6.774013745598495007e-04
1.780000000000000000e+02,6.775145302526652813e-04
1.790000000000000000e+02,6.808468024246394634e-04
1.800000000000000000e+02,6.809609476476907730e-04
1.810000000000000000e+02,6.828037439845502377e-04
1.820000000000000000e+02,6.846785545349121094e-04
1.830000000000000000e+02,6.846025353297591209e-04
1.840000000000000000e+02,6.847706390544772148e-04
1.850000000000000000e+02,6.869162316434085369e-04
1.860000000000000000e+02,6.869258941151201725e-04
1.870000000000000000e+02,6.835300591774284840e-04
1.880000000000000000e+02,6.835220847278833389e-04
1.890000000000000000e+02,6.835029926151037216e-04
